uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,white,black,hispanic,asian,american_indian_alaska_native,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale,party,gfi,state_pop
1,80480000707,Columbine High School,804800,Jefferson County R-1,4/20/1999,1998-1999,1999,11:19 AM,Tuesday,Littleton,Colorado,public,1965,13,21,34,indiscriminate,18,m,w,student,1,suicide,1783,16,112,42,12,1,"12-gauge Savage-Springfield 67H pump-action shotgun, Hi-Point 995 Carbine 9 mm carbine, 9×19mm Intratec TEC-9 semi-automatic handgun, 12-gauge Stevens 311D double-barreled sawed-off shotgun",purchased from friends,39.60391,-105.075,89.6,9,12,41,Jefferson County,8,8059,21,dem,39,5961083
2,2.20E+11,Scotlandville Middle School,2200540,East Baton Rouge Parish School Board,4/22/1999,1998-1999,1999,12:30 PM,Thursday,Baton Rouge,Louisiana,public,588,0,1,1,targeted,14,m,unknown,former student (expelled),0,unknown,5,583,0,0,0,0,.22 caliber pistol,unknown,30.529958,-91.169966,39,6,8,495,East Baton Rouge Parish,22,22033,12,rep,34,4616106
3,1.30E+11,Heritage High School,1304410,Rockdale County,5/20/1999,1998-1999,1999,8:03 AM,Thursday,Conyers,Georgia,public,1369,0,6,6,indiscriminate,15,m,w,student,0,unknown,1189,136,28,15,1,1,".22 caliber rifle, 357-caliber Magnum handgun",unknown,33.626922,-84.04796,84,9,12,125,Rockdale County,13,13247,21,dem,23,10830007
4,4.22E+11,John Bartram High School,4218990,Philadelphia City SD,10/4/1999,1999-2000,1999,10:00 AM,Monday,Philadelphia,Pennsylvania ,public,3147,0,1,1,targeted,17,m,unknown,student,0,unknown,209,2736,27,170,5,1,RG .25-caliber pistol,purchased from friend,39.921509,-75.234108,41,9,12,2007,Philadelphia County,42,42101,11,dem ,28,12804123
5,2.50E+11,Dorchester High School,2502790,Boston,11/3/1999,1999-2000,1999,7:40 AM,Wednesday,Boston,Massachusetts,public,1116,0,1,1,targeted,0,m,unknown,unknown,0,unknown,40,755,287,29,5,0,unknown,unknown,42.285268,-71.075901,0,9,12,543,Suffolk County,25,25025,11,dem,49,6922107
6,3.50E+11,Deming Middle School,3500690,Deming Public Schools,11/19/1999,1999-2000,1999,12:45 PM,Friday,Deming,New Mexico,public,753,1,0,1,accidental or targeted,12,m,h,student,0,unknown,160,6,583,2,2,0,.22-caliber Colt revolver ,home,32.261547,-107.762986,44,6,7,502,Luna County,35,35029,33,dem,21,2109093
7,4.01E+11,Fort Gibson Middle School,4011970,Fort Gibson,12/6/1999,1999-2000,1999,7:45 AM,Monday,Fort Gibson,Oklahoma,public,407,0,5,5,indiscriminate,13,m,ai,student,0,unknown,239,3,12,0,153,0,Taurus 9mm pistol,father,35.795556,-95.241921,25.4,6,8,146,Muskogee County,40,40101,32,rep,6,4007179
8,1.20E+11,Ridgewood High School,1201530,Pasco,1/19/2000,1999-2000,2000,3:00 PM,Wednesday,New Port Richey,Florida,public,1852,1,0,1,accidental,16,m,w,student,0,unknown,1697,28,96,26,5,1,.22-caliber Magnum handgun,stolen,28.273253,-82.687231,85,9,12,654,Pasco County,12,12101,21,rep,30,21944577
9,62460009581,Alicia Reyes Elementary School,624600,Merced City Elementary,1/26/2000,1999-2000,2000,8:34 AM,Wednesday,Merced,California,public,734,0,0,0,targeted,13,m,unknown,no connection,0,unknown,82,40,389,222,1,0,.22 caliber revolver,unknown,37.286387,-120.494808,36,KG,5,643,Merced County,6,6047,13,dem,48,39613493
10,1.71E+11,Duke Ellington Elementary School,1709930,City of Chicago School District 299,2/14/2000,1999-2000,2000,unknown,Monday,Chicago,Illinois,public,736,0,1,1,accidental,11,m,unknown,student,0,unknown,0,736,0,0,0,0,unknown,unknown,41.885272,-87.766042,37,PK,6,,Cook County,17,17031,11,dem,29,12569321
11,2.80E+11,Horn Lake High School,2801320,Desoto County School District,2/22/2000,1999-2000,2000,unknown,Tuesday,Horn Lake,Mississippi,public,1197,0,0,0,targeted,0,m,unknown,unknown,0,unknown,991,166,25,14,1,0,handgun,unknown,34.948919,-90.035423,65,9,12,324,DeSoto County,28,28033,21,rep,18,2961536
12,4.03E+11,Tecumseh High School,4029610,Tecumseh,2/24/2000,1999-2000,2000,9:00 AM,Thursday,Tecumseh,Oklahoma,public,711,0,0,0,targeted,19,m,unknown,former boyfriend of student,0,unknown,527,8,12,2,162,0,unknown,unknown,35.255494,-96.943184,45.5,9,12,184,Pottawatomie County,40,40125,32,rep,6,4007179
13,2.60E+11,Buell Elementary School,2604500,Beecher Community School District,2/29/2000,1999-2000,2000,10:00 AM,Tuesday,Mount Morris Township,Michigan,public,459,1,0,1,targeted,6,m,b,student,0,unknown,125,261,37,0,1,0,.32-caliber semiautomatic handgun,"uncle's friend, found in open shoebox",43.079604,-83.706037,20,KG,4,421,Genesee County,26,26049,21,dem,20,9992427
14,4.02E+11,Hugo High School,4015210,Hugo,4/6/2000,1999-2000,2000,12:00 PM,Thursday,Hugo,Oklahoma,public,499,0,1,1,targeted,33,f,unknown,parent of student,0,unknown,263,117,11,1,107,1,small-caliber pistol,legally purchased by shooter,34.010732,-95.511435,34.7,9,12,236,Choctaw County,40,40023,33,rep,6,4007179
15,40146000077,Carmichael Elementary School,401460,Sierra Vista Unified District,5/10/2000,1999-2000,2000,1:30 PM,Wednesday,Sierra Vista,Arizona,public,397,1,0,1,targeted,39,m,unknown,spouse of teacher,1,suicide,178,51,154,8,6,0,unknown,unknown,31.56269,-110.29924,24.5,KG,5,,Cochise County,4,4003,13,dem,2,7640796
16,1.20E+11,Lake Worth Middle School,1201500,Palm Beach County School District,5/26/2000,1999-2000,2000,3:00 PM,Friday,Lake Worth,Florida,public,1525,1,0,1,targeted,13,m,b,student,0,unknown,414,560,528,17,6,0,.25-caliber handgun,grandfather,26.451351,-80.085968,95,6,8,1186,Palm Beach County,12,12099,21,rep,30,21944577
17,5.31E+11,Dimmitt Middle School,5307230,Renton,7/17/2000,1999-2000,2000,10:30 AM,Monday,Renton,Washington,public,956,0,0,0,indiscriminate,13,m,w,student in summer school,0,unknown,276,375,73,218,14,0,.22-caliber handgun,grandparents,47.493015,-122.233115,42.3,6,8,,King County,53,53033,21,dem,42,7887965
